OBJECTID,male_high_white_old,male_med_white_old,male_low_white_old,female_high_white_old,female_med_white_old,female_low_white_old,male_high_poc_old,male_med_poc_old,male_low_poc_old,female_high_poc_old,female_med_poc_old,female_low_poc_old,length,male_high_white_new,male_med_white_new,male_low_white_new,female_high_white_new,female_med_white_new,female_low_white_new,male_high_poc_new,male_med_poc_new,male_low_poc_new,female_high_poc_new,female_med_poc_new,female_low_poc_new
41138,2.861073066,2.429571527,2.149480675,2.842320627,2.536291785,2.77763462,2.391998821,1.851273326,1.844374823,2.368833554,1.840819115,1.930604719,186.4425873,3.96111188,3.958287159,3.802560736,3.944821149,3.892263782,3.761209713,3.928626449,3.939946938,3.668688498,3.895733673,3.857271688,3.660342078
41197,2.70563175,2.279353606,1.991734555,2.694352088,2.399549912,2.644301376,2.231429927,1.695653531,1.687719515,2.211966274,1.689866559,1.780617728,397.6347037,4.227977309,4.216156071,4.052422928,4.219222065,4.161836492,4.022173979,4.192973802,4.193443926,3.918061098,4.170797384,4.127180243,3.923958778
41224,2.931662371,2.500388497,2.21995076,2.91325015,2.60772433,2.849232052,2.462345456,1.921830417,1.914889794,2.439348646,1.911589031,2.001424083,111.1791626,4.053152629,4.049865611,3.89354342,4.037200165,3.984347032,3.852724484,4.02043559,4.031211402,3.759465331,3.9880213,3.949242564,3.751807045
41353,2.78777814,2.358053943,2.0753106,2.77162639,2.469478408,2.712049309,2.316873179,1.777804696,1.770560561,2.294989574,1.768970877,1.859114228,255.3313846,4.053802246,4.048123732,3.889511763,4.039937191,3.985849893,3.851755551,4.02044911,4.028309529,3.755269907,3.99105053,3.950979421,3.751644872
41415,1.83214486,1.750185379,1.651943783,1.726311954,1.756284642,2.164715273,1.609985191,1.494051272,1.583776979,1.508878936,1.395377285,1.617704843,746.4745204,3.788774942,3.911174329,3.623766179,3.60687009,3.646738695,3.430835028,3.97048364,4.205109705,3.807979768,3.737479372,3.863187768,3.576790532
41485,2.678526978,2.245459642,1.967817132,2.657412526,2.347894045,2.588097743,2.211152253,1.668996779,1.6624069,2.186822708,1.657062018,1.746516336,69.74844165,3.957269468,3.956838638,3.803922193,3.938920906,3.887668547,3.759477722,3.925612429,3.939842613,3.670639473,3.889734724,3.852623647,3.658153257
41491,2.692987793,2.259225198,1.982705709,2.670792058,2.359696116,2.599360804,2.226405808,1.683624743,1.677164256,2.20154028,1.671008488,1.760300875,97.39783163,4.005216556,4.00620488,3.855418848,3.985857116,3.935560478,3.809342312,3.974389971,3.990283069,3.723025953,3.93708217,3.900987252,3.708398324
41589,2.72405018,2.289678582,2.014161568,2.700903284,2.388417992,2.627613136,2.25816911,1.714845521,1.708506442,2.23283447,1.701629118,1.790784941,39.60939468,4.025139335,4.027021293,3.877468815,4.005010516,3.955218351,3.830214502,3.99468029,4.011660149,3.745437536,3.956250172,3.920669913,3.729205344
41610,2.662267674,2.233377669,1.94937301,2.647344349,2.347020936,2.590131553,2.190525124,1.652237102,1.644808121,2.16925954,1.644191583,1.734471939,246.2693521,3.976118451,3.968891457,3.808860879,3.963557134,3.908622092,3.773026168,3.942312932,3.948307597,3.674449068,3.914739391,3.873759626,3.673276604
41636,2.875221721,2.44374532,2.163615909,2.856504932,2.550530659,2.791888654,2.406122631,1.865420227,1.858515107,2.38297439,1.854988112,1.944777115,183.5342629,4.065065966,4.06227311,3.906652492,4.048787348,3.996279756,3.865299085,4.032649226,4.043996539,3.772874177,3.999781147,3.961376214,3.764535806
